workflow_id,commit_sha,task,category,horizon,condition,rep,model,provider,model_tier,benchmark_profile,passed,acceptance_oracle_passed,project_tests_passed,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,tokens,cost_usd,rework_turns,governance_turns,llm_turns,wall_clock_s,stop_reason,expected_file_count,written_file_count,milestones_completed,milestones_total,tokens_per_completed_milestone,language_count,tool_schema_hashes
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,1,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11102,5754,2184,0,16856,0.114065,1,2,5,53.484,done,10,10,4,4,4214.0,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,2,gpt-5.6-terra,openai-responses,mid,custom,False,False,False,16954,2709,2184,0,19663,0.08302,9,2,5,29.157,repeated_tool_loop,10,3,1,4,19663.0,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,3,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11097,6203,2184,0,17300,0.120788,1,2,5,46.678,done,10,10,4,4,4325.0,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,4,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11085,5882,2184,0,16967,0.115943,1,2,5,44.772,done,10,10,4,4,4241.75,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,5,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,14121,6430,2184,0,20551,0.131752,2,2,6,50.867,done,10,10,4,4,5137.75,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,6,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11083,6019,2184,0,17102,0.117993,1,2,5,44.637,done,10,10,4,4,4275.5,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,7,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11100,6233,2184,0,17333,0.121245,1,2,5,49.253,done,10,10,4,4,4333.25,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,8,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11080,5922,2184,0,17002,0.11653,1,2,5,44.711,done,10,10,4,4,4250.5,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,9,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11105,5872,2184,0,16977,0.115842,1,2,5,42.895,done,10,10,4,4,4244.25,5,cf28361d99c24f40
30445030314,5dbb092bce97aa9e5e62bcd71d55ec867e3dc9f9,T28,long_horizon_product,long,SPECSMITH_FULL,10,gpt-5.6-terra,openai-responses,mid,custom,True,True,True,11115,5966,2184,0,17081,0.117278,1,2,5,41.932,done,10,10,4,4,4270.25,5,cf28361d99c24f40
